,gini,rf_imp,mean_log2FC,gini_n,rf_imp_n,score
ILMN_2215730,0.19812625614064938,0.0,-0.9147011020199477,0.7215630437198713,0.0,0.36078152185993567
ILMN_2357086,0.07636820268463178,0.007481742096251991,-0.4346309923266463,0.20968845777010217,0.5107241058954626,0.36020628183278236
ILMN_1660125,0.19707488712291027,0.0,1.2339131077560932,0.7171430561678362,0.0,0.3585715280839181
ILMN_1751569,0.19703127381902352,0.0,-1.1634906960836868,0.7169597045025027,0.0,0.35847985225125134
ILMN_1834803,0.19665180592354164,1.6771752333461157e-05,-1.1711446608008547,0.7153644098475074,0.0011448855232657818,0.35825464768538656
ILMN_1756079,0.19646868510522406,0.0,-1.077239805843,0.7145945643186532,0.0,0.3572972821593266
ILMN_2108823,0.190230780774206,0.00038026918084306895,-0.6086567148038493,0.6883702234557505,0.025958210652966503,0.3571642170543585
ILMN_1703684,0.1949729139120912,8.704908338261383e-05,-0.9420144030869425,0.7083062964100583,0.005942207671375957,0.3571242520407171
ILMN_1797731,0.19051639563909253,0.0003484246660425321,0.405371418347082,0.6895709570955808,0.02378441728506541,0.3566776871903231
ILMN_1670383,0.1930000276342811,0.00019235736433586358,-1.1747975129339934,0.7000122220723404,0.013130837931723972,0.3565715300020322
ILMN_1765872,0.19589443886559127,0.0,-0.9882344577665609,0.7121804155391523,0.0,0.3560902077695762
ILMN_1775330,0.1232904086858217,0.0044708347630692934,1.27836465972982,0.40695084893821437,0.3051913655402232,0.35607110723921875
ILMN_1736940,0.19587140309827003,0.0,-1.3157716304306666,0.7120835724677915,0.0,0.35604178623389576
ILMN_1806068,0.19563301961616897,0.0,-0.7284296492255417,0.7110814010078,0.0,0.3555407005039
ILMN_1720422,0.19526540159114458,0.0,-0.8824018043715046,0.7095359235711474,0.0,0.3547679617855737
ILMN_2172318,0.19436980420817587,0.0,-0.7183229864319011,0.7057708047426798,0.0,0.3528854023713399
ILMN_1684306,0.13921083874965637,0.003395813479804305,0.8624991202282507,0.47388082453946995,0.23180748292962808,0.352844153734549
ILMN_2381758,0.19403587480654658,0.0,-0.8374225478700928,0.7043669553105993,0.0,0.35218347765529967
ILMN_1736819,0.1934148095403493,0.0,0.95341694790714,0.7017559779094424,0.0,0.3508779889547212
ILMN_1742846,0.193356906726856,0.0,-1.191003893841,0.7015125527080621,0.0,0.35075627635403106
ILMN_3250067,0.18951827760624776,0.00021167048054919891,0.6678807992219524,0.6853748383150192,0.014449203879549425,0.3499120210972843
ILMN_2342554,0.192703231766948,0.0,-1.0421315474014057,0.6987644831557717,0.0,0.34938224157788583
ILMN_1731616,0.1925872910109366,0.0,-0.916240340535015,0.698277064666452,0.0,0.349138532333226
ILMN_3304200,0.19257131608415337,0.0,-0.8692547541745054,0.6982099055849732,0.0,0.3491049527924866
ILMN_1810210,0.19212453151640885,0.0,-0.9402347392779847,0.6963316095780024,0.0,0.3481658047890012
ILMN_1778374,0.17564134684844893,0.0009839129907167094,-1.2942898601946158,0.6270357963848869,0.06716458225878374,0.34710018932183534
ILMN_3246673,0.1841723071212166,0.0004428196038753537,-0.9759740249452596,0.6629002146589051,0.030228073001275738,0.34656414383009043
ILMN_3205910,0.19039775516091603,5.457997152349312e-05,1.4577928533152298,0.6890721888915916,0.0037257776060070392,0.3463989832487993
ILMN_1662482,0.1908980564434355,0.0,-1.04028053221871,0.6911754708065927,0.0,0.34558773540329635
ILMN_1691217,0.19079577618887278,0.0,1.2855966827472658,0.6907454814837588,0.0,0.3453727407418794
ILMN_1713347,0.18071443963353462,0.0006162398789126899,-0.8665313857217233,0.6483632338326984,0.04206621360718598,0.3452147237199422
ILMN_1673232,0.11488708466732299,0.004666192947098108,1.049354102845542,0.3716230173864018,0.3185270476024878,0.3450750324944448
ILMN_1706186,0.18975512888236085,5.331083183909343e-05,-1.2790339167015,0.6863705683341087,0.003639142672293381,0.34500485550320104
ILMN_1669631,0.19061836119020917,0.0,-1.1890541022918433,0.6899996233954886,0.0,0.3449998116977443
ILMN_1710676,0.09058346832795948,0.006148947669124124,0.50661774630031,0.26944986992156034,0.41974392596138954,0.34459689794147497
ILMN_1734878,0.18598764772248533,0.00027174235353326695,-0.3675797898832897,0.6705319621471146,0.018549873646637936,0.3445409178968763
ILMN_1804938,0.19018673404601144,0.0,-0.9746211879705466,0.688185049661352,0.0,0.344092524830676
ILMN_1747627,0.18061711144592305,0.0005477338546807619,-0.8329801923683892,0.6479540631509996,0.037389805689859945,0.34267193442042976
ILMN_1687090,0.18939242627192138,0.0,-0.6787477621020613,0.6848457554509209,0.0,0.34242287772546043
ILMN_1733863,0.18600970452251084,0.00015535292131036815,-1.1086654529535016,0.6706246896099802,0.01060481380054959,0.3406147517052649
ILMN_2316878,0.18828139416545958,0.0,-0.9819861829293712,0.6801749424465272,0.0,0.3400874712232636
ILMN_2330845,0.18623259696473995,9.059041317105835e-05,-1.3234109277188935,0.6715617362638886,0.006183948494117006,0.3388728423790028
ILMN_1791409,0.18751905196031837,0.0,-0.7763533436987463,0.6769700324670025,0.0,0.33848501623350125
ILMN_3190486,0.18660187834741387,5.583201844884088e-05,1.5297080878280838,0.6731142065070455,0.0038112457414039725,0.33846272612422473
ILMN_2325028,0.1842254733241692,0.00017703055057164557,0.4294347094089517,0.6631237270044988,0.012084587853165683,0.33760415742883226
ILMN_1679984,0.18496312207557863,0.00010595823095823103,-1.1388598685430333,0.666224824948221,0.007232997619032713,0.33672891128362686
ILMN_1695941,0.18644903839197371,0.0,-0.8769169957628763,0.672471662653174,0.0,0.336235831326587
ILMN_1700183,0.18633694121252903,0.0,1.9697085915692734,0.6720004026774624,0.0,0.3360002013387312
ILMN_2351269,0.1695789040900606,0.0010308716247679497,-0.7486640060135606,0.6015491013473783,0.07037010659808252,0.3359596039727304
ILMN_1717990,0.18610145812020423,0.0,1.69795073192204,0.6710104245449238,0.0,0.3355052122724619
ILMN_1739812,0.158043641673944,0.0017108530882115785,-1.0211373265009736,0.5530545048465848,0.11678749448381413,0.33492099966519945
ILMN_1756989,0.18574185962656964,0.0,-0.8749569233970104,0.669498661463857,0.0,0.3347493307319285
ILMN_2049672,0.1711009777894613,0.0008779232936888229,-1.1002641568534683,0.6079479457979197,0.059929436680080134,0.3339386912389999
ILMN_1680687,0.18395927912296095,7.394012457303596e-05,-0.8664395294429547,0.6620046384295906,0.005047354416464107,0.3335259964230273
ILMN_1773849,0.18515081769171884,0.0,-1.3224320158184832,0.667013903067239,0.0,0.3335069515336195
ILMN_1763891,0.10195035483367819,0.005122096205778664,0.5976720681130183,0.31723660893800293,0.3496482465383743,0.3334424277381886
ILMN_3279757,0.18498384510120625,0.0,0.9683181355037274,0.6663119451826669,0.0,0.33315597259133345
ILMN_1683998,0.18476347422923825,0.0,-1.1361857556081967,0.6653854992873672,0.0,0.3326927496436836
ILMN_1690139,0.18460248254611777,0.0,-0.8411846269002257,0.6647086853206556,0.0,0.3323543426603278
ILMN_1867517,0.1845887837711511,0.0,1.3550986835409802,0.664651095251128,0.0,0.332325547625564
ILMN_2088437,0.18344487170451587,0.0,-0.6740979917097363,0.6598420538871137,0.0,0.32992102694355685
ILMN_3234654,0.18197857595516806,8.6966796644216e-05,-0.924480190342884,0.6536777016469685,0.005936590554352325,0.3298071461006604
