,gini,rf_imp,mean_log2FC,gini_n,rf_imp_n,score
ENSG00000136826.10,0.15635823293624626,0.0015233003203070456,1.184135690852197,0.3184198513574092,0.051862660943392584,0.1851412561504009
ENSG00000129667.8,0.17583005179029698,0.0,1.033756742166064,0.3656599180861274,0.0,0.1828299590430637
ENSG00000205364.3,0.13997741786925785,0.002407407407407407,1.7371504032685499,0.2786787874827139,0.08196319035619692,0.18032098891945542
ENSG00000176046.7,0.1737447857981756,0.0,1.24672302134472,0.36060090919983384,0.0,0.18030045459991692
ENSG00000187720.10,0.1642870679673928,0.0006399260593871541,1.3461285167574533,0.33765578913804656,0.021787081512690584,0.17972143532536858
ENSG00000188760.6,0.06000449606896482,0.008014038793091689,-0.4865505352859237,0.08465858882261357,0.27284795464989636,0.17875327173625497
ENSG00000157005.3,0.17203720453138413,0.0,-1.031463389532976,0.3564581912754034,0.0,0.1782290956377017
ENSG00000165168.6,0.17177418883646772,0.0,0.9573177997661436,0.3558200958272236,0.0,0.1779100479136118
ENSG00000003989.12,0.16920163215773754,0.0,1.8174251162315231,0.34957888384402247,0.0,0.17478944192201123
ENSG00000214353.3,0.1613631358420369,0.0005499462943071967,1.21685558842712,0.3305621144409177,0.018723608088640282,0.174642861264779
ENSG00000122367.15,0.13169430809070493,0.0026569337095652887,-0.9375458298085683,0.25858335307090813,0.09045862479729534,0.17452098893410173
ENSG00000155850.7,0.16456248898877865,0.00031328320802005005,1.56962425581314,0.3383239808219504,0.010666117889036614,0.1744950493554935
ENSG00000125144.9,0.16038728024523408,0.0005925925925925927,2.1222941884636035,0.3281946168868323,0.02017555454921771,0.17418508571802502
ENSG00000121933.13,0.16844613298739544,0.0,0.9638890737392476,0.3477459872107926,0.0,0.1738729936053963
ENSG00000137198.5,0.16243021991174247,0.0003174603174603173,1.1182343750675132,0.3331509389896607,0.010808332794223765,0.17197963589194223
ENSG00000101187.11,0.1331816830225507,0.002401594805686877,1.2402714888605233,0.2621918342075535,0.08176529307474026,0.1719785636411469
ENSG00000140181.10,0.04972529380289836,0.008286757627214031,0.9547604690368129,0.05972048701473064,0.2821330077930043,0.17092674740386748
ENSG00000089327.10,0.1638161685734125,0.00015037593984962397,1.0038746040645539,0.33651335252434955,0.005119736586737573,0.17081654455554357
ENSG00000188039.9,0.13132769768060015,0.0024561403508771926,1.1227063985742933,0.25769392921345535,0.08362236425004706,0.1706581467317512
ENSG00000110876.8,0.16380420846271307,0.0,0.8879827145042455,0.33648433641487574,0.0,0.16824216820743787
ENSG00000204287.9,0.14217722802111793,0.0015201402198306221,1.23620610572803,0.2840156889372364,0.05175507137791362,0.167885380157575
ENSG00000163132.6,0.1585000071958289,0.0003400966183574881,1.2648584794913302,0.32361595346265687,0.011579013915203213,0.16759748368893004
ENSG00000139800.8,0.1629885088888594,0.0,1.2706802590941801,0.3345053891686909,0.0,0.16725269458434544
ENSG00000182718.11,0.1617054590856955,0.0,1.5193529141309634,0.3313926158437109,0.0,0.16569630792185544
ENSG00000162998.4,0.15675102779684413,0.0003182559573537018,1.1864074828713613,0.31937280062036316,0.010835421347592755,0.16510411098397795
ENSG00000167676.3,0.16115608793559255,0.0,1.0226339085785983,0.3300598009698555,0.0,0.16502990048492774
ENSG00000183943.5,0.1299554219698006,0.0022222222222222222,1.3893477471248168,0.2543646872646538,0.0756583295595664,0.1650115084121101
